URL,Ignored (Yes/No),Landing page (Yes/No),Tag status
sites.google.com/view/falcon302jusonline-selling-hub/home/,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/8xml,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/about-ua,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/beauty-cosmetic-products,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/blog,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/clothings-accessories,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/contact-us,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/games-gadgets,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/groceries-items,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/gym-gadgets,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/hair-growing,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/handbags-purses,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/health-fitness-supplements,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/home-appliances,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/kids-clothings,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/laptops-chromebooks,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/mobiles-tabs,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/new-gadgets,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/privacy-policy,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/shoes-variety,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/sitemap-xml,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/terms-and-conditions,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/toys,No,No,Tagged
sites.google.com/view/falcon302jusonline-selling-hub/home/womens-undergarments,No,No,Tagged
576346271-atari-embeds.googleusercontent.com/embeds/16cb204cf3a9d4d223a0a3fd8b0eec5d/inner-frame-minified.html,Yes,No,Tagged
1792497078-atari-embeds.googleusercontent.com/embeds/16cb204cf3a9d4d223a0a3fd8b0eec5d/inner-frame-minified.html,Yes,No,Tagged
1280686235-atari-embeds.googleusercontent.com/embeds/16cb204cf3a9d4d223a0a3fd8b0eec5d/inner-frame-minified.html,Yes,No,Tagged
523774267-atari-embeds.googleusercontent.com/embeds/16cb204cf3a9d4d223a0a3fd8b0eec5d/inner-frame-minified.html,Yes,No,Tagged
1279193665-atari-embeds.googleusercontent.com/embeds/16cb204cf3a9d4d223a0a3fd8b0eec5d/inner-frame-minified.html,Yes,No,Tagged
711537707-atari-embeds.googleusercontent.com/embeds/16cb204cf3a9d4d223a0a3fd8b0eec5d/inner-frame-minified.html,Yes,No,Tagged
